temp,rh,so2,no2,co,pm10,pm2.5,o3,day,dow,death_total
15.2,70,17.1506061,37.63589015,0.4971375,37.76274635,37.40993266,43.88445957,77,2,299
17,62,19.22848732,28.89583333,0.487308333,55.66145833,29.33796296,44.41749306,78,3,328
9.7,73,25.92886552,48.21369617,0.614705534,78.68976294,46.48481712,48.78631895,79,4,317
7.7,59,21.35214921,43.8901721,0.573304167,55.43709563,44.503489,55.95593345,80,5,262
12.5,76,28.49136905,48.24007937,0.685218182,106.9866552,81.03037898,64.89133281,81,6,306
9.9,80,24.35460526,32.48125,0.565945,58.02988782,53.91111111,74.55751326,82,7,333
9.4,82,18.71996753,39.76465311,0.48805,29.72525649,19.62674363,83.91947103,83,1,291
7,57,20.18305336,43.65010352,0.473943478,43.27070315,30.04479578,91.94220235,84,2,294
8,65,26.368083,69.48665327,0.807065217,92.35230018,78.85902503,97.59070347,85,3,294
9.9,77,34.07797619,89.69620927,1.035580952,117.7164274,95.94153439,99.8299706,86,4,311
12.6,73,42.31571146,54.54456522,0.971934783,186.0687592,160.5797101,97.625,87,5,328
10,70,33.19614625,61.7080863,1.026286957,132.5486801,120.4154589,88.25,88,6,284
12.1,58,60.24267912,76.90370813,1.226021739,248.4971358,187.1614423,93.75,89,7,286
10.2,71,30.23351648,45.875,0.777857143,106.6744505,53.53174603,112.125,90,1,256
13.4,66,34.75,60.35,0.719086667,59.99315476,51.13276353,97.125,91,2,338
11.7,61,21.14463933,48.57778533,0.512765217,51.20420847,41.10963883,109.5,92,3,296
11.9,53,19.81225296,41.57608696,0.417373913,42.02642709,28.79613527,101.9392663,93,4,292
13.7,75,32.79166667,50.33333333,0.856025,203.4404762,163.2617845,91,94,5,336
14.8,88,16.27622283,25.06354167,0.384345833,50.90616883,31.61018519,75.625,95,6,339
10,64,14.54538334,45.21830357,0.468652381,34.75324675,18.75228475,85.875,96,7,316
10.9,42,23.0514881,42.07457983,0.609714286,64.93060031,49.07890212,109,97,1,278
14.8,50,14.86491055,46.29592391,0.573613043,67.22255314,57.84033816,136.875,98,2,303
13.8,40,27.51528974,50.40767045,1.131204167,192.3298753,189.4228395,133.375,99,3,275
13.4,33,18.13997653,26.58951407,0.803565217,258.8576087,143.101195,101.625,100,4,296
13.3,48,14.59868421,45.14589783,0.484834783,98.80480557,66.09356725,111.1562816,101,5,288
15.2,46,12.85474308,40.44184783,1.290143478,247.6965399,185.368599,137.635145,102,6,321
19.7,40,11.18668831,20.17741703,0.414095455,60.90871212,45.64772727,144.1428571,103,7,292
19.6,39,12.75595238,13.70068027,0.286933333,37.0547619,18.71428571,123.2857143,104,1,328
21,47,11.62302372,20.06435555,0.303609289,23.0458498,14.3944768,109.6887531,105,2,329
23.7,34,9.381422925,23.27772848,0.35746087,9.249422799,8.018020595,97.125,106,3,350
16.3,72,11.43478261,23.83341895,0.368808696,11.27039806,9.985660173,88.25,107,4,329
13.7,77,17.90242095,24.21688547,0.599252174,46.36237799,40.62011419,98.125,108,5,283
11.5,54,17.73958333,21.61875,0.523729167,53.07175795,45.75925926,100.5,109,6,275
10.6,80,13.94762846,22.4371118,0.481769565,33.58441558,27.34299517,84.75,110,7,278
10.3,57,17.33125412,29.28768116,0.508647283,41.82111801,35.06984702,106.0584737,111,1,253
12.8,61,13.85079051,29.62463533,0.560043478,29.08105904,24.92753623,131.625,112,2,292
15.2,79,12.52624459,24.35795455,0.457640909,34.85064935,24.64646465,100.7023435,113,3,301
14.6,73,15.9365942,32.32087862,0.556924819,55.49534161,40.66324477,76.375,114,4,274
17.2,60,14.528125,35.78958333,0.39955,36.68958888,29.37777778,106.5830841,115,5,258
17.2,39,10.06000906,38.1875,0.4046625,24.87425241,20.45833333,138.875,116,6,256
21.4,31,12.46195652,42.08695652,0.540613043,32.05124887,26.03705534,152.625,117,7,269
22.1,61,11.73980978,28.50769928,0.566558333,26.91025066,23.74272487,130.375,118,1,310
20.1,71,24.19244071,52.62870553,0.845668972,85.02865829,60.2649999,114.7909007,119,2,334
16.3,60,62.94806985,66.77987132,1.292894118,150.758469,149.2222222,107.75,120,3,251
17.5,44,32.74772727,48.47272727,0.704449091,113.7161336,100.8521886,127.375,121,4,293
16.1,58,16.85570522,40.04683274,0.526016008,58.38543092,56.72048992,129.946918,122,5,271
17.8,54,23.371875,42.63541667,0.6310125,96.71460081,85.36018519,132.25,123,6,283
17.3,72,15.94542572,55.87318841,0.677004167,99.87401996,84.30092593,136.2390056,124,7,268
18.3,66,11.19047619,30.68181818,0.486245455,11.82440087,20.59876543,140.4285714,125,1,255
17.7,77,10.12125329,48.60960145,0.764616667,62.45438521,47.06944444,76.57142857,126,2,259
19.6,69,28.94702381,84.3577381,1.05245881,109.3921951,94.34062007,133.4285714,127,3,281
18.3,73,12.91276738,44.13760027,0.829236364,100.2740432,81.89512775,81.28571429,128,4,273
21.7,84,11.05357143,45.70535714,0.297230435,39.71379454,26.05555556,43.42857143,129,5,293
20.3,77,21.61458333,39.06060606,0.6833125,79.33164983,52.46276167,99.09865903,130,6,258
22.1,68,14.84556159,36.95474249,0.520841667,62.14114332,34.97000805,170.8571429,131,7,267
24.7,51,17.04646739,52.68822941,0.558613043,37.1382183,23.37955643,172.6666667,132,1,289
24.4,58,14.91125541,30.42343074,0.53067381,54.43056758,37.10509861,151.1666667,133,2,283
24.6,67,14.50520833,32.30729167,0.4777125,40.85648148,22.37962963,133.3333333,134,3,298
21.7,85,14.26136364,38.73890693,0.437622727,43.31577682,25.42905243,96.4559709,135,4,291
19.4,89,16.32065217,32.52717391,0.516182609,60.54159504,45.73913043,57.85714286,136,5,268
19.2,89,31.34125906,76.53532609,0.805658333,103.2105369,81.06944444,88.57142857,137,6,243
20.8,88,35.95208333,80.79375,1.0080875,170.1198048,152.0277778,51,138,7,242
21.5,69,20.92708333,38.13184524,0.442841667,75.65413036,50.89814815,165.4285714,139,1,254
24,64,13.86956522,44.9673913,0.52043913,31.9871633,29.31225296,201,140,2,273
24.8,54,18.94886364,38.17628589,0.41335,66.09848485,36.53535354,174.5,141,3,295
23.8,74,40.61451863,80.58035714,0.711234783,121.0365021,81.30331263,110.625,142,4,268
22.2,84,33.28896104,73.48189935,0.555626385,123.2640933,84.42578163,89.75,143,5,266
24.4,74,24.61755952,59.61830357,0.5452875,107.6435185,70.20833333,111.4061796,144,6,247
25.3,62,25.95869565,71.17826087,0.736034783,116.0148521,79.58454106,123.625,145,7,294
23.3,73,39.90909091,97.22101449,1.018647826,203.5467391,137.1447079,91.125,146,1,279
23.6,80,14.1242236,44.14074712,0.536043478,188.5057312,68.88405797,68.625,147,2,262
24,65,18.625,33.21354167,0.452258333,95.60365447,58.82222222,130,148,3,285
24.6,70,15.56547619,45.93348861,0.3466125,67.75462963,25.91711957,102.0350217,149,4,267
18.5,80,18.00595238,52.35714286,0.369120833,76.08997585,41.44791667,72.875,150,5,195
19.6,88,11.98109244,26.91111111,0.265533333,54.95502646,30.96770833,69.11111111,151,6,200
20.8,83,15.01298309,39.74214976,0.349028804,58.57383096,33.6107337,94.23119062,152,7,287
20.2,67,18.96753247,70.48701299,0.568836364,72.16336804,55.96022727,135.4314309,153,1,227
21.5,72,23.4568668,68.03441245,0.777152174,103.9062034,85.27482555,157,154,2,275
22.3,73,11.01428571,48.48435374,0.414009762,50.79538961,41.10846561,119.9197523,155,3,261
24.4,76,8.807453416,38.57660455,0.449226087,44.08760871,38.57004831,81.77777778,156,4,276
